Designator,Mid X,Mid Y,Rotation,Layer
D1,-75.0,45.0,180.0,top
D10,-45.0,15.0,180.0,top
D11,-15.0,15.0,180.0,top
D13,-74.9,10.5,180.0,top
D14,-44.9,10.5,180.0,top
D15,-14.9,10.5,180.0,top
D2,-45.0,45.0,180.0,top
D3,-15.0,45.0,180.0,top
D5,-74.9,40.5,180.0,top
D6,-44.9,40.5,180.0,top
D7,-15.0,40.5,180.0,top
D9,-75.0,15.0,180.0,top
J1,-83.1,46.3,0.0,top
J2,-83.1,38.8,0.0,top
J3,-84.0,16.54,0.0,top
J4,-84.1,8.3,0.0,top
