Designator,Footprint,Quantity,Value,LCSC Part #
"D1, D10, D11, D12, D13, D14, D15, D16, D2, D3, D4, D5, D6, D7, D8, D9",LED_PLCC-2_3.4x3.0mm_KA,16,LED,
"J1, J2, J3, J4",PinSocket_1x02_P2.54mm_Horizontal,4,Conn_01x02_Socket,
